ชื่อย่านชุมชนเก่า,ตำบล,อำเภอ,จังหวัด,ภาค,ละติจูด,ลองจิจูด,ประกาศมรดกจังหวัด
สังกาอู้,เกาะลันตาใหญ่,เกาะลันตา,กระบี่,ใต้,7.489036474,99.11037374,
ศรีรายา,เกาะลันตาใหญ่,เกาะลันตา,กระบี่,ใต้,7.532645846,99.09320507,
โต๊ะบาหลิว,ศาลาด่าน,เกาะลันตา,กระบี่,ใต้,7.646889541,99.04209353,
ในไร่ คลองดาว,ศาลาด่าน,เกาะลันตา,กระบี่,ใต้,7.645451722,99.03384107,
เกาะกลาง,คลองประสงค์,เมืองกระบี่,กระบี่,ใต้,8.053208514,98.93077376,
แหลมตง เกาะพีพี,อ่าวนาง,เมืองกระบี่,กระบี่,ใต้,7.776987165,98.7628971,
เกาะจำ,เกาะศรีบอยา,เหนือคลอง,กระบี่,ใต้,7.795582559,98.99177032,
นาหลวง,ปกาสัย,เหนือคลอง,กระบี่,ใต้,8.026808422,99.0464096,
ชุมชนบ้านหนองขาว,หนองขาว,ท่าม่วง,กาญจนบุรี,กลาง,14.05512038,99.6313615,
ชุมชนตลาดท่ามะกา,ดอนขมิ้น,ท่ามะกา,กาญจนบุรี,กลาง,13.91781023,99.76731517,
ชุมชนตลาดเขต,รางหวาย,พนมทวน,กาญจนบุรี,กลาง,14.25441814,99.81998484,
ชุมชนถนนปากแพรก,ปากแพรก,เมืองกาญจนบุรี,กาญจนบุรี,กลาง,14.02192222,99.52845729,
ชุมชนบ้านปากนาสวน,นาสวน,ศรีสวัสดิ์,กาญจนบุรี,กลาง,14.61494833,99.12050978,
ชุมชนหมู่บ้านหม่องสะเทอ,หนองลู,สังขละบุรี,กาญจนบุรี,กลาง,15.13621077,98.44737591,
ชุมชนบ้านก้อม,หนองแปน,กมลาไสย,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.31498321,103.5170693,
ชุมชนบ้านโคกโก่ง,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.53148361,104.1910809,
ชุมชนบ้านหนองห้าง,หนองห้าง,กุฉินารายณ์,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.5643204,104.1006781,
ชุมชนบ้านดงสว่าง,ทุ่งคลอง,คำม่วง,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.37161968,103.5499377,
ชุมชนบ้านโพน,โพน,คำม่วง,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.86185671,103.6150399,
ชุมชนบ้านคำยิ่งหมี,นามน,นามน,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.5601382,103.7772538,
ชุมชนบ้านสงเปลือย,สงเปลือย,นามน,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.60878495,103.8228838,
