id,จังหวัด,ชื่อแหล่งศิลปกรรม,ประเภทที่,ประเภทแหล่งศิลปกรรม,ภาค,อำเภอ,ตำบล,latitude,longtitude
1,กำแพงเพชร,วัดชีนางเกา,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.4783,99.5224
2,กำแพงเพชร,กลุ่มอาคารบ้านไม้ถนนเทศาริมแม่น้ำปิง,ประเภทที่ 3,พิพิธภัณฑ์ สถาปัตยกรรม พระราชวัง,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.466,99.5318
3,กำแพงเพชร,วัดกะโลทัย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.4758,99.5313
4,กำแพงเพชร,กำแพงเมือง-คูเมืองนครชุม,ประเภทที่ 5,ชุมชนโบราณ เมืองโบราณ อุทยานประวัติศาสตร์,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4752,99.5116
5,กำแพงเพชร,กำแพงป้อมทุ่งเศรษฐี,ประเภทที่ 5,ชุมชนโบราณ เมืองโบราณ อุทยานประวัติศาสตร์,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4511,99.5011
6,กำแพงเพชร,วัดสร้างอารมณ์,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4835,99.4957
7,กำแพงเพชร,วัดบาง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.471,99.5321
8,นนทบุรี,วัดอมฤต,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคกลาง,เมืองนนทบุรี,บางไผ่,13.8387,100.4945
9,กำแพงเพชร,วัดราชพฤกษ์ศรัทธาราม (วัดหนองปลิง),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.5086,99.5006
10,กำแพงเพชร,วัดตะแบกลาย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,สระแก้ว,16.4901,99.5326
11,อ่างทอง,วัดเชิงหวาย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคกลาง,เมืองอ่างทอง,หัวไผ่,14.5489,100.4788
12,กำแพงเพชร,วัดเจดีย์กลางทุ่ง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4644,99.5249
13,กำแพงเพชร,วัดหม่องกาเล,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4676,99.5091
14,กำแพงเพชร,วัดหนองลังกา,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,นครชุม,16.4682,99.5111
15,กำแพงเพชร,กำแพงเมืองกำแพงเพชร,ประเภทที่ 5,ชุมชนโบราณ เมืองโบราณ อุทยานประวัติศาสตร์,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.4908,99.5168
16,กำแพงเพชร,เขาตาพัน,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคเหนือ,พรานกระต่าย,เขาคีริส,16.57,99.61
17,กำแพงเพชร,เจดีย์วัดบาง,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.473,99.5288
18,กำแพงเพชร,บ่อสามแสน,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคเหนือ,เมืองกำแพงเพชร,หนองปลิง,16.51,99.52
19,กำแพงเพชร,ประตูเจ้าอินทร์ (ป้อมเจ้าอินทร์),ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.4883,99.5151
20,กำแพงเพชร,วัดมหาธาตุ (วัดพระธาตุ),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ในเมือง,16.4876,99.5201
21,กำแพงเพชร,วัดวังพระธาตุ (วัดท้าวแสนปม),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองกำแพงเพชร,ไตรตรึงษ์,16.3724,99.5662
